,Age0to24,Age0to24percent,Age25to44,Age25to44percent,Age45to64,Age45to64percent,Age65up,Age65uppercent,Inc0to15,Inc0to15percent,Inc100up,Inc100uppercent,Inc15to25,Inc15to25percent,Inc25to35,Inc25to35percent,Inc35to50,Inc35to50percent,Inc50to75,Inc50to75percent,Inc75to100,Inc75to100percent,Median Age,Median Income
"Abbotsford-Mission, British Columbia",41692.0,15.0,34111.0,15.0,32848.0,15.0,18951.0,15.0,32848.0,26.0,5053.0,4.0,25268.0,20.0,17687.0,14.0,18951.0,15.0,17687.0,14.0,8843.0,7.0,38.0,26710.0
"Alma, Quebec",7462.0,19.0,5863.0,19.0,8528.0,19.0,4797.0,19.0,6396.0,24.0,1066.0,4.0,5063.0,19.0,3997.0,15.0,5063.0,19.0,3731.0,14.0,1332.0,5.0,42.0,27700.0
"Amos, Quebec",3971.0,19.0,3074.0,19.0,3843.0,19.0,2049.0,19.0,2562.0,20.0,640.0,5.0,2562.0,20.0,1793.0,14.0,2433.0,19.0,2049.0,16.0,768.0,6.0,40.0,31770.0
"Baie-Comeau, Quebec",6363.0,18.0,5421.0,18.0,8013.0,18.0,3771.0,18.0,4478.0,19.0,1649.0,7.0,4242.0,18.0,3064.0,13.0,4242.0,18.0,3771.0,16.0,2121.0,9.0,42.0,34300.0
"Barrie, Ontario",47946.0,16.0,36665.0,16.0,38075.0,16.0,18332.0,16.0,32434.0,23.0,8461.0,6.0,23973.0,17.0,16922.0,12.0,22563.0,16.0,22563.0,16.0,14102.0,10.0,38.0,33140.0
"Bathurst, New Brunswick",6368.0,16.0,5814.0,16.0,9691.0,16.0,5814.0,16.0,6922.0,25.0,1107.0,4.0,6091.0,22.0,4153.0,15.0,4430.0,16.0,3322.0,12.0,1661.0,6.0,45.0,26310.0
"Bay Roberts, Newfoundland and Labrador",2531.0,14.0,2260.0,14.0,2802.0,14.0,1536.0,14.0,2260.0,25.0,542.0,6.0,2079.0,23.0,1356.0,15.0,1265.0,14.0,994.0,11.0,542.0,6.0,41.0,25950.0
"Belleville, Ontario",21075.0,17.0,16157.0,17.0,19670.0,17.0,13347.0,17.0,16157.0,23.0,2810.0,4.0,13347.0,19.0,10537.0,15.0,11942.0,17.0,10537.0,15.0,4917.0,7.0,41.0,28320.0
"Brandon, Manitoba",14924.0,18.0,12365.0,18.0,9807.0,18.0,5969.0,18.0,9380.0,22.0,1705.0,4.0,7248.0,17.0,6396.0,15.0,7675.0,18.0,7248.0,17.0,2984.0,7.0,37.0,31000.0
"Brantford, Ontario",32060.0,17.0,25047.0,17.0,28053.0,17.0,16030.0,17.0,23043.0,23.0,5009.0,5.0,19036.0,19.0,14026.0,14.0,17032.0,17.0,15028.0,15.0,7013.0,7.0,39.0,31100.0
"Brockville, Ontario",7454.0,17.0,5522.0,17.0,8559.0,17.0,6074.0,17.0,6074.0,22.0,1380.0,5.0,5245.0,19.0,4141.0,15.0,4693.0,17.0,4141.0,15.0,1932.0,7.0,44.0,27760.0
"Brooks, Alberta",6574.0,20.0,5686.0,20.0,3909.0,20.0,1777.0,20.0,3198.0,18.0,1599.0,9.0,2843.0,16.0,2132.0,12.0,3554.0,20.0,2843.0,16.0,1599.0,9.0,34.0,36620.0
"Calgary, Alberta",307046.0,15.0,316641.0,15.0,249475.0,15.0,95952.0,15.0,191904.0,20.0,143928.0,15.0,134332.0,14.0,95952.0,10.0,143928.0,15.0,163118.0,17.0,86356.0,9.0,36.0,41970.0
"Campbell River, British Columbia",7887.0,16.0,6197.0,16.0,9014.0,16.0,5070.0,16.0,6197.0,22.0,1690.0,6.0,5352.0,19.0,4225.0,15.0,4507.0,16.0,4225.0,15.0,1971.0,7.0,42.0,26550.0
"Campbellton, New Brunswick part",2832.0,17.0,2360.0,17.0,4130.0,17.0,2478.0,17.0,2950.0,25.0,236.0,2.0,2832.0,24.0,2006.0,17.0,2006.0,17.0,1180.0,10.0,590.0,5.0,45.0,24320.0
"Campbellton, Quebec part",961.0,12.0,614.0,12.0,747.0,12.0,347.0,12.0,1068.0,40.0,26.0,1.0,614.0,23.0,347.0,13.0,320.0,12.0,240.0,9.0,53.0,2.0,37.0,16980.0
"Campbellton, combined NewBrunswick/Quebec",3906.0,16.0,3038.0,16.0,4919.0,16.0,2749.0,16.0,4051.0,28.0,289.0,2.0,3472.0,24.0,2315.0,16.0,2315.0,16.0,1447.0,10.0,578.0,4.0,43.0,22950.0
"Camrose, Alberta",4770.0,16.0,3693.0,16.0,4001.0,16.0,2924.0,16.0,2616.0,17.0,1385.0,9.0,2924.0,19.0,2154.0,14.0,2462.0,16.0,2462.0,16.0,1385.0,9.0,40.0,35610.0
"Canmore, Alberta",2659.0,17.0,3478.0,17.0,3069.0,17.0,1125.0,17.0,1636.0,16.0,1329.0,13.0,1432.0,14.0,1329.0,13.0,1739.0,17.0,1841.0,18.0,920.0,9.0,39.0,35000.0
"Cape Breton, Nova Scotia",22864.0,15.0,17148.0,15.0,26131.0,15.0,16332.0,15.0,20415.0,25.0,2449.0,3.0,18781.0,23.0,13065.0,16.0,12249.0,15.0,9799.0,12.0,4899.0,6.0,43.0,25470.0
"Centre Wellington, Ontario",6088.0,18.0,4517.0,18.0,5499.0,18.0,3535.0,18.0,3928.0,20.0,1374.0,7.0,2946.0,15.0,2553.0,13.0,3535.0,18.0,3535.0,18.0,1767.0,9.0,40.0,35090.0
"Charlottetown, Prince Edward Island",15639.0,18.0,13032.0,18.0,15117.0,18.0,8340.0,18.0,11468.0,22.0,2606.0,5.0,9904.0,19.0,7819.0,15.0,9383.0,18.0,8340.0,16.0,2606.0,5.0,40.0,28010.0
"Chatham-Kent, Ontario",22479.0,17.0,16484.0,17.0,21729.0,17.0,14236.0,17.0,17983.0,24.0,2997.0,4.0,14986.0,20.0,11239.0,15.0,12738.0,17.0,10490.0,14.0,4495.0,6.0,41.0,25080.0
"Chilliwack, British Columbia",22995.0,15.0,17246.0,15.0,18683.0,15.0,12934.0,15.0,17246.0,24.0,2874.0,4.0,15090.0,21.0,10060.0,14.0,10779.0,15.0,10779.0,15.0,5030.0,7.0,40.0,26480.0
"Cobourg, Ontario",4633.0,17.0,3385.0,17.0,5167.0,17.0,4811.0,17.0,3742.0,21.0,1069.0,6.0,3385.0,19.0,2673.0,15.0,3029.0,17.0,2494.0,14.0,1425.0,8.0,46.0,27310.0
"Cold Lake, Alberta",4972.0,12.0,4335.0,12.0,2677.0,12.0,765.0,12.0,2040.0,16.0,2040.0,16.0,1530.0,12.0,1275.0,10.0,1530.0,12.0,2805.0,22.0,1530.0,12.0,32.0,50400.0
"Collingwood , Ontario",4422.0,16.0,3603.0,16.0,4586.0,16.0,3767.0,16.0,3439.0,21.0,982.0,6.0,3439.0,21.0,2457.0,15.0,2620.0,16.0,2293.0,14.0,1146.0,7.0,44.0,24790.0
"Corner Brook, Newfoundland and Labrador",6258.0,17.0,5563.0,17.0,7185.0,17.0,4172.0,17.0,5099.0,22.0,927.0,4.0,5099.0,22.0,3477.0,15.0,3940.0,17.0,3013.0,13.0,1622.0,7.0,42.0,28340.0
"Cornwall, Ontario",13670.0,17.0,9899.0,17.0,14142.0,17.0,9428.0,17.0,11313.0,24.0,1414.0,3.0,10842.0,23.0,7071.0,15.0,8013.0,17.0,6128.0,13.0,2357.0,5.0,42.0,26700.0
"Courtenay, British Columbia",11085.0,17.0,9311.0,17.0,13745.0,17.0,10641.0,17.0,9754.0,22.0,2217.0,5.0,8868.0,20.0,6207.0,14.0,7537.0,17.0,7094.0,16.0,2660.0,6.0,45.0,22470.0
"Cowansville, Quebec",2864.0,18.0,2148.0,18.0,2966.0,18.0,2148.0,18.0,2352.0,23.0,204.0,2.0,2557.0,25.0,1739.0,17.0,1841.0,18.0,1125.0,11.0,409.0,4.0,43.0,25280.0
"Cranbrook, British Columbia",5658.0,16.0,4648.0,16.0,6265.0,16.0,3637.0,16.0,4244.0,21.0,1414.0,7.0,3637.0,18.0,2829.0,14.0,3233.0,16.0,3233.0,16.0,1616.0,8.0,41.0,29730.0
"Dawson Creek, British Columbia",3406.0,16.0,2805.0,16.0,2605.0,16.0,1302.0,16.0,1803.0,18.0,1002.0,10.0,1603.0,16.0,1302.0,13.0,1603.0,16.0,1703.0,17.0,1002.0,10.0,37.0,37930.0
"Dolbeau-Mistassini, Quebec",3588.0,18.0,2790.0,18.0,4385.0,18.0,2658.0,18.0,3322.0,25.0,265.0,2.0,2923.0,22.0,1993.0,15.0,2392.0,18.0,1860.0,14.0,531.0,4.0,43.0,24380.0
"Drummondville, Quebec",21561.0,19.0,17967.0,19.0,20842.0,19.0,12217.0,19.0,16530.0,23.0,1437.0,2.0,16530.0,23.0,11499.0,16.0,13655.0,19.0,9343.0,13.0,2874.0,4.0,40.0,27700.0
"Duncan, British Columbia",9514.0,17.0,7135.0,17.0,10194.0,17.0,7135.0,17.0,8155.0,24.0,1359.0,4.0,7135.0,21.0,4757.0,14.0,5776.0,17.0,4417.0,13.0,2378.0,7.0,43.0,24360.0
"Edmonton, Alberta",287942.0,15.0,278944.0,15.0,224955.0,15.0,107978.0,15.0,161967.0,18.0,107978.0,12.0,134973.0,15.0,98980.0,11.0,134973.0,15.0,161967.0,18.0,98980.0,11.0,37.0,42440.0
"Edmundston, New Brunswick",4280.0,18.0,4094.0,18.0,6513.0,18.0,3722.0,18.0,4280.0,23.0,372.0,2.0,4466.0,24.0,2977.0,16.0,3349.0,18.0,2233.0,12.0,930.0,5.0,44.0,26340.0
"Elliot Lake, Ontario",1866.0,14.0,1306.0,14.0,2799.0,14.0,3358.0,14.0,2425.0,26.0,373.0,4.0,2425.0,26.0,1492.0,16.0,1306.0,14.0,933.0,10.0,373.0,4.0,51.0,21330.0
"Estevan, Saskatchewan",3855.0,15.0,3402.0,15.0,2721.0,15.0,1360.0,15.0,1701.0,15.0,1927.0,17.0,1360.0,12.0,1360.0,12.0,1701.0,15.0,1927.0,17.0,1360.0,12.0,36.0,45530.0
"Fort St. John, British Columbia",7115.0,14.0,6538.0,14.0,4230.0,14.0,1538.0,14.0,3076.0,16.0,2884.0,15.0,2499.0,13.0,2115.0,11.0,2692.0,14.0,3461.0,18.0,2499.0,13.0,33.0,45040.0
"Fredericton, New Brunswick",21564.0,18.0,19407.0,18.0,20126.0,18.0,10782.0,18.0,15813.0,22.0,4312.0,6.0,12219.0,17.0,9344.0,13.0,12938.0,18.0,12219.0,17.0,5031.0,7.0,39.0,32660.0
"Granby, Quebec",18348.0,19.0,15184.0,19.0,18981.0,19.0,11388.0,19.0,13286.0,21.0,1898.0,3.0,13919.0,22.0,10123.0,16.0,12021.0,19.0,8857.0,14.0,3163.0,5.0,41.0,28230.0
"Grand Falls-Windsor, Newfoundland and Labrador",2943.0,17.0,2716.0,17.0,3509.0,17.0,2150.0,17.0,2716.0,24.0,566.0,5.0,2377.0,21.0,1584.0,14.0,1924.0,17.0,1358.0,12.0,792.0,7.0,43.0,27160.0
"Grande Prairie, Alberta",18281.0,15.0,16838.0,15.0,9622.0,15.0,2886.0,15.0,7697.0,16.0,7697.0,16.0,6254.0,13.0,4811.0,10.0,7216.0,15.0,8659.0,18.0,5773.0,12.0,32.0,46050.0
"Greater Sudbury, Ontario",37623.0,17.0,31352.0,17.0,36368.0,17.0,21319.0,17.0,26336.0,21.0,11286.0,9.0,18811.0,15.0,16303.0,13.0,21319.0,17.0,20065.0,16.0,11286.0,9.0,40.0,34530.0
"Guelph, Ontario",34189.0,17.0,29778.0,17.0,29778.0,17.0,16543.0,17.0,23160.0,21.0,8823.0,8.0,16543.0,15.0,13234.0,12.0,18749.0,17.0,19852.0,18.0,9926.0,9.0,39.0,36770.0
"Halifax, Nova Scotia",85874.0,17.0,79952.0,17.0,85874.0,17.0,41456.0,17.0,65146.0,22.0,20728.0,7.0,47379.0,16.0,38495.0,13.0,50340.0,17.0,50340.0,17.0,23689.0,8.0,40.0,33400.0
"Hamilton, Ontario",169455.0,16.0,136657.0,16.0,153056.0,16.0,92927.0,16.0,125724.0,23.0,38264.0,7.0,92927.0,17.0,65595.0,12.0,87460.0,16.0,87460.0,16.0,49196.0,9.0,40.0,33690.0
"Hawkesbury, Ontario part",2200.0,16.0,1672.0,16.0,2904.0,16.0,2024.0,16.0,2200.0,25.0,176.0,2.0,2376.0,27.0,1320.0,15.0,1408.0,16.0,968.0,11.0,352.0,4.0,45.0,24200.0
"Hawkesbury, Quebec part",402.0,16.0,294.0,16.0,388.0,16.0,241.0,16.0,348.0,26.0,0.0,0.0,321.0,24.0,227.0,17.0,214.0,16.0,160.0,12.0,0.0,0.0,40.0,25480.0
"Hawkesbury, combined Ontario/Quebec",2636.0,16.0,2028.0,16.0,3244.0,16.0,2230.0,16.0,2535.0,25.0,202.0,2.0,2737.0,27.0,1521.0,15.0,1622.0,16.0,1115.0,11.0,405.0,4.0,44.0,24290.0
"High River, Alberta",3216.0,18.0,2883.0,18.0,2883.0,18.0,2107.0,18.0,2107.0,19.0,998.0,9.0,1774.0,16.0,1441.0,13.0,1996.0,18.0,1774.0,16.0,998.0,9.0,41.0,35020.0
"Ingersoll, Ontario",3399.0,18.0,2575.0,18.0,2884.0,18.0,1545.0,18.0,2163.0,21.0,515.0,5.0,1751.0,17.0,1339.0,13.0,1854.0,18.0,1751.0,17.0,927.0,9.0,39.0,34370.0
"Joiliette, Quebec",10621.0,18.0,8654.0,18.0,11802.0,18.0,8261.0,18.0,9048.0,23.0,1180.0,3.0,9048.0,23.0,5901.0,15.0,7081.0,18.0,5507.0,14.0,1573.0,4.0,43.0,28110.0
"Kamloops, British Columbia",23043.0,17.0,19865.0,17.0,23838.0,17.0,13508.0,17.0,16686.0,21.0,5562.0,7.0,14302.0,18.0,10329.0,13.0,13508.0,17.0,12713.0,16.0,6356.0,8.0,41.0,31300.0
"Kawartha Lakes, Ontario",14794.0,18.0,10811.0,18.0,17639.0,18.0,13087.0,18.0,13087.0,23.0,2276.0,4.0,11380.0,20.0,7966.0,14.0,10242.0,18.0,7966.0,14.0,3983.0,7.0,45.0,25740.0
"Kelowna, British Columbia",38569.0,16.0,34284.0,16.0,41426.0,16.0,28570.0,16.0,31427.0,22.0,8571.0,6.0,27141.0,19.0,19999.0,14.0,22856.0,16.0,22856.0,16.0,9999.0,7.0,42.0,28000.0
"Kenora, Ontario",3400.0,19.0,2523.0,19.0,3291.0,19.0,1864.0,19.0,2194.0,20.0,658.0,6.0,1864.0,17.0,1426.0,13.0,2084.0,19.0,1864.0,17.0,877.0,8.0,40.0,32140.0
"Kentville, Nova Scotia",6023.0,16.0,4777.0,16.0,6438.0,16.0,3738.0,16.0,5192.0,25.0,623.0,3.0,4569.0,22.0,3323.0,16.0,3323.0,16.0,2700.0,13.0,1038.0,5.0,42.0,24940.0
"Kingston, Ontario",33747.0,17.0,29092.0,17.0,32583.0,17.0,20946.0,17.0,24437.0,21.0,8145.0,7.0,19782.0,17.0,13964.0,12.0,19782.0,17.0,19782.0,17.0,10473.0,9.0,41.0,32110.0
"Kitchener-Cambridge-Waterloo, Ontario",119486.0,16.0,101382.0,16.0,94140.0,16.0,47070.0,16.0,83278.0,23.0,25345.0,7.0,57932.0,16.0,47070.0,13.0,57932.0,16.0,61553.0,17.0,28966.0,8.0,38.0,35200.0
"Lachute, Quebec",2853.0,16.0,2219.0,16.0,3276.0,16.0,2219.0,16.0,2748.0,26.0,211.0,2.0,2748.0,26.0,1585.0,15.0,1691.0,16.0,1268.0,12.0,317.0,3.0,43.0,23800.0
"Lacombe, Alberta",4140.0,16.0,2990.0,16.0,2875.0,16.0,1495.0,16.0,2185.0,19.0,1380.0,12.0,1725.0,15.0,1380.0,12.0,1840.0,16.0,1840.0,16.0,1150.0,10.0,37.0,37950.0
"Leamington, Ontario",11632.0,15.0,17216.0,15.0,11632.0,15.0,6048.0,15.0,12097.0,26.0,1395.0,3.0,11167.0,24.0,6514.0,14.0,6979.0,15.0,5583.0,12.0,2791.0,6.0,39.0,21470.0
"Lethbridge, Alberta",29627.0,17.0,22855.0,17.0,20316.0,17.0,12697.0,17.0,16930.0,20.0,5925.0,7.0,16083.0,19.0,11851.0,14.0,14390.0,17.0,13544.0,16.0,5925.0,7.0,37.0,32340.0
"Lloydminster, Alberta part",5327.0,14.0,4870.0,14.0,3652.0,14.0,1522.0,14.0,2283.0,15.0,2739.0,18.0,1978.0,13.0,1674.0,11.0,2130.0,14.0,2587.0,17.0,1826.0,12.0,35.0,44370.0
"Lloydminster, Saskatchewan part",4672.0,16.0,4088.0,16.0,2219.0,16.0,817.0,16.0,1985.0,17.0,1284.0,11.0,1518.0,13.0,1518.0,13.0,1868.0,16.0,2219.0,19.0,1284.0,11.0,31.0,39620.0
"Lloydminster, combined Alberta/Saskatchewan",9953.0,16.0,8877.0,16.0,5649.0,16.0,2152.0,16.0,4304.0,16.0,4035.0,15.0,3497.0,13.0,2959.0,11.0,4304.0,16.0,4573.0,17.0,3228.0,12.0,33.0,42130.0
"London, Ontario",111860.0,17.0,93818.0,17.0,97426.0,17.0,57734.0,17.0,86601.0,24.0,21650.0,6.0,61342.0,17.0,43300.0,12.0,61342.0,17.0,57734.0,16.0,28867.0,8.0,39.0,31470.0
"Matane, Quebec",3548.0,18.0,3240.0,18.0,5400.0,18.0,3394.0,18.0,3548.0,23.0,462.0,3.0,3703.0,24.0,2468.0,16.0,2777.0,18.0,2005.0,13.0,462.0,3.0,45.0,26070.0
"Medicine Hat, Alberta",18265.0,15.0,15411.0,15.0,15411.0,15.0,8562.0,15.0,10274.0,18.0,5708.0,10.0,10845.0,19.0,7420.0,13.0,8562.0,15.0,9132.0,16.0,5137.0,9.0,39.0,35070.0
"Midland, Ontario",7587.0,17.0,5901.0,17.0,8711.0,17.0,5901.0,17.0,6744.0,24.0,843.0,3.0,5901.0,21.0,4215.0,15.0,4777.0,17.0,3934.0,14.0,1686.0,6.0,43.0,27390.0
"Miramichi, New Brunswick",6023.0,17.0,4908.0,17.0,7139.0,17.0,4462.0,17.0,5354.0,24.0,892.0,4.0,4685.0,21.0,3569.0,16.0,3792.0,17.0,2900.0,13.0,1115.0,5.0,43.0,25950.0
"Moncton, New Brunswick",31685.0,19.0,30592.0,19.0,30592.0,19.0,17481.0,19.0,22944.0,21.0,5463.0,5.0,20759.0,19.0,16389.0,15.0,20759.0,19.0,16389.0,15.0,6555.0,6.0,40.0,30960.0
"Montréal, Quebec",900672.0,17.0,840627.0,17.0,810604.0,17.0,450336.0,17.0,720537.0,24.0,180134.0,6.0,570425.0,19.0,390291.0,13.0,510380.0,17.0,450336.0,15.0,180134.0,6.0,39.0,30760.0
"Moose Jaw, Saskatchewan",8618.0,18.0,6950.0,18.0,7506.0,18.0,5004.0,18.0,5282.0,19.0,1946.0,7.0,5004.0,18.0,3892.0,14.0,5004.0,18.0,4448.0,16.0,2224.0,8.0,40.0,34010.0
"Nanaimo, British Columbia",20547.0,18.0,17503.0,18.0,22830.0,18.0,15220.0,18.0,17503.0,23.0,3805.0,5.0,14459.0,19.0,10654.0,14.0,13698.0,18.0,11415.0,15.0,4566.0,6.0,43.0,26190.0
"New Glasgow, Nova Scotia",7851.0,16.0,6449.0,16.0,8692.0,16.0,5327.0,16.0,7010.0,25.0,1121.0,4.0,6168.0,22.0,4206.0,15.0,4486.0,16.0,3645.0,13.0,1402.0,5.0,42.0,25340.0
"Non CMA-CA, Alberta",186678.0,14.0,129637.0,14.0,134823.0,14.0,67411.0,14.0,108895.0,21.0,51855.0,10.0,93339.0,18.0,62226.0,12.0,72597.0,14.0,82968.0,16.0,46669.0,9.0,37.0,33700.0
"Non CMA-CA, British Columbia",112541.0,14.0,91700.0,14.0,133382.0,14.0,79195.0,14.0,104205.0,25.0,25009.0,6.0,83364.0,20.0,58354.0,14.0,58354.0,14.0,58354.0,14.0,29177.0,7.0,43.0,24810.0
"Non CMA-CA, Manitoba",103724.0,16.0,62780.0,16.0,68240.0,16.0,40944.0,16.0,76428.0,28.0,10918.0,4.0,54592.0,20.0,38214.0,14.0,43673.0,16.0,35484.0,13.0,13648.0,5.0,37.0,27410.0
